rank,score,title,format,hook,keyword,proof_link,cover_concept
1,88,"The First-Date Red Flag That Means Leave Before Dessert",RUN,"Leave the date if you see this one thing.","first date red flags","https://www.youtube.com/shorts/33FyFEu0Mjc","Ace shocked, red flag over dinner table"
2,87,"If They Say These 3 Phrases, You're Being Manipulated",DONT,"These three phrases mean you're being played.","red flag phrases dating","https://www.youtube.com/watch?v=fGGAcTDJUjI","Ace side-eye, snake in speech bubble"
3,85,"The Red Flag I Ignored for 6 Months (It Cost Me)",EXPERIENCE,"I ignored one red flag for six months.","ignoring red flags relationship","https://www.youtube.com/watch?v=IdyLRtakrzo","Ace facepalm, calendar pages flying"
4,84,"Dating Red Flags Ranked - Which Ones Are Actually Dealbreakers",RUN,"Not every red flag means run. Here's the ranking.","dating red flags ranked","https://www.youtube.com/watch?v=TcLDmhwm0qI","Ace confident, podium of flags"
5,82,"Icks vs Red Flags - You're Confusing Them and It's Killing Your Dates",DONT,"An ick is not a red flag. Know the difference.","icks vs red flags","https://www.youtube.com/watch?v=owsVfmohrfM","Ace shrugging between tiny and huge flag"
6,81,"Don't Just Get the Number - Do This in the First 10 Seconds After",DO,"Getting the number is the easy part.","what to text after getting number","https://www.youtube.com/shorts/1sPsCoP4dvI","Ace confident with phone, green check"
7,80,"Most Dating Advice Is Making You Worse at Dating",DONT,"Dating advice is why you're still single.","bad dating advice","https://www.youtube.com/watch?v=M5M8iSOWlmA","Ace facepalm at pile of rules scrolls"
8,79,"She Did THIS on Our First Date - Big Red Flag or Just Me?",EXPERIENCE,"Halfway through the date, she did this.","first date story red flag","https://www.youtube.com/shorts/PzqI9ucLKAk","Ace shocked, phone face-down"
9,78,"The Loyalty Signal Most People Miss on Date One",LOOK,"You can spot loyalty on the first date.","signs of a loyal partner","https://www.youtube.com/shorts/vxoov46x4pM","Ace smitten, green flag raised"
10,77,"Dates That Exposed HUGE Red Flags - Story Time",EXPERIENCE,"Three dates. Three disasters. One lesson.","dating horror stories","https://www.youtube.com/shorts/9sYpR7PvhjA","Ace with three red flags fanned"
11,76,"What Attractive People Actually Do Differently (It's Not Their Face)",DO,"Attraction has almost nothing to do with your face.","how to be more attractive","https://www.youtube.com/watch?v=6z2An2uGLLc","Ace confident, sparkles, mirror"
12,74,"Relationship Tests People Run on You (and What They Reveal)",RUN,"If they test you, they're telling you something.","partner testing you","https://www.youtube.com/shorts/p_L2j6ZwXno","Ace suspicious at checkbox quiz"
13,73,"Dating Only for Looks - What It Actually Costs You",DIFFERENT,"I chased pretty. It cost me two years.","dating for looks","https://www.youtube.com/watch?v=10cnE3jD4Z8","Ace facepalm, cracked picture frame"
14,72,"Texting Habits That Scream Desperate (Stop All 4 Today)",DONT,"Your texts are why they pulled away.","texting mistakes dating","https://goodmenproject.com/featured-content/stop-these-insecure-dating-behaviors-w-sabrina-zohar/","Ace shocked, stacked blue bubbles"
15,71,"Stop These Insecure Dating Behaviors (Everyone Sees Them)",DONT,"Insecurity leaks. Here's where yours is showing.","insecure dating behaviors","https://goodmenproject.com/featured-content/stop-these-insecure-dating-behaviors-w-sabrina-zohar/","Ace side-eye, sweating heart"
16,60,"Love-Bombing: The Red Flag That Feels Amazing",RUN,"The best first month of my life was a trap.","love bombing signs",,"Ace smitten in hearts, one is a red flag"
